,Barcode,block,g_alias,datePlant,dateMature,daysToMaturity,plantCount,hundredSeedWeight,podWseedWeight,seedWeight,meanSeedpPod,tenPodWeight,seedpPod1,seedpPod2,seedpPod3,seedpPod4,seedpPod5,seedpPod6,seedpPod7,seedpPod8,seedpPod9,seedpPod10,genotype,soilSample
39,105_4,2,VI004838AG,10/6/2022,12/19/2022,74,20,3.88,298,168,12.2,6.49,13,13,12,11,13,12,13,12,11,12,MMC270,Wm1
40,105_5,2,VI003135B-BL,10/6/2022,12/16/2022,71,20,3.02,222,140,12.5,5.39,13,13,12,13,13,13,11,13,11,13,MMC156,Wm1
41,106_1,2,VI002860AG,10/6/2022,12/19/2022,74,20,3.99,206,122,11.2,5.83,12,13,10,10,10,12,12,12,10,11,MMC137,Wm1
42,106_2,2,VI002611AG,10/6/2022,12/23/2022,78,20,5.64,226,132,13.1,10.76,13,12,14,13,13,13,13,14,14,12,MMC130,Wm1
43,106_3,2,VI004480AG,10/6/2022,12/12/2022,67,20,3.73,146,84,10.9,5.16,10,10,11,12,12,11,11,11,11,10,MMC258,Wm1
44,106_4,2,VI004691AG,10/6/2022,12/14/2022,69,20,4.13,196,114,11.7,6.84,14,11,14,11,10,8,14,10,12,13,MMC261,Wm1
45,106_5,2,VI002646AG,10/6/2022,12/24/2022,79,20,5.99,278,174,12.5,10.75,12,11,11,14,12,13,12,14,14,12,MMC131,Wm1
46,107_1,3,VI003577AG,10/6/2022,12/23/2022,78,11,4.68,86,40,11.7,7.47,11,15,9,13,12,12,9,12,12,12,MMC196,Wm1
47,107_2,3,VI004044BG,10/6/2022,12/21/2022,76,17,3.89,220,130,13.2,7.3,12,13,14,14,13,13,14,13,12,14,MMC238,Wm1
48,107_3,3,VI003957AG,10/6/2022,12/19/2022,74,20,3.5,332,190,13.1,6.21,13,14,14,14,12,13,13,13,14,11,MMC232,Wm1
49,107_4,3,VI003364AG,10/6/2022,12/19/2022,74,20,5.46,358,222,12.8,9.36,12,13,13,13,13,14,13,12,12,13,MMC175,Wm1
50,107_5,3,VI004954BG,10/6/2022,12/19/2022,74,15,4.83,350,200,13.2,10.64,14,14,11,12,13,12,14,14,15,13,MMC281,Wm1
51,108_1,3,VI000253AG,10/6/2022,12/23/2022,78,14,3.65,66,28,11.5,5.75,11,12,10,13,10,12,12,10,11,14,MMC12,Wm1
52,108_2,3,VI001435AG,10/6/2022,12/26/2022,81,11,3.51,142,82,12.4,7.29,13,13,12,12,11,13,14,11,13,12,MMC68,Wm1
53,108_3,3,3890,10/6/2022,12/19/2022,74,20,6.42,390,246,12.3,12.11,12,14,12,12,12,13,13,11,11,13,MBCt,Wm1
54,108_4,3,VI001339AG,10/6/2022,12/19/2022,74,20,7.44,376,242,13.9,14.05,13,14,14,11,14,13,15,16,15,14,MMC59,Wm1
55,108_5,3,CO6,10/6/2022,12/23/2022,78,20,4.02,240,146,12.5,6.95,12,12,14,12,12,12,14,14,12,11,MB14,Wm1
56,109_1,3,VI002009BG,10/6/2022,12/21/2022,76,20,3.81,440,284,13.5,5.87,13,13,15,13,15,14,14,15,11,12,MMC105,Wm2
57,109_2,3,VI003648BG,10/6/2022,12/19/2022,74,20,4.5,300,204,13.6,7.85,13,12,14,14,15,15,14,14,13,12,MMC199,Wm2
58,109_3,3,VI000105BG,10/6/2022,12/19/2022,74,20,4.53,324,220,12.2,7.8,10,13,10,13,13,12,13,13,12,13,MMC3,Wm2
59,109_4,3,VI001651BG,10/6/2022,12/26/2022,81,20,3.85,246,140,12.9,7.17,12,12,14,12,13,13,13,14,13,13,MMC88,Wm2
60,109_5,3,VI003658BG,10/6/2022,12/26/2022,81,20,3.94,330,204,12.8,7.38,13,14,12,12,12,14,13,13,13,12,MMC200,Wm2
61,11_1,3,VI004942BG,10/6/2022,12/19/2022,74,12,4.36,260,162,12.7,8.38,13,12,12,12,12,13,13,14,15,11,MMC280,Ws1
62,11_2,3,VI004743AG,10/6/2022,12/21/2022,76,8,3.39,54,16,12,6.13,11,12,11,11,12,13,14,12,12,12,MMC265,Ws1
63,11_3,3,VI000805BG,10/6/2022,12/12/2022,67,13,5.44,260,200,13,10.02,11,13,12,13,13,15,14,13,12,14,MMC38,Ws1
64,11_4,3,VI004480AG,10/6/2022,12/14/2022,69,12,3.77,154,94,11.5,5.6,11,14,9,12,13,12,12,10,10,12,MMC258,Ws1
65,11_5,3,KPS2,10/6/2022,12/19/2022,74,8,6.36,110,56,12.9,11.62,14,11,14,13,14,12,12,13,13,13,MB03,Ws1
66,110_1,3,VI004973B-BLM,10/6/2022,12/23/2022,78,7,4,234,146,12.9,7.07,15,13,12,12,14,12,13,12,13,13,MMC288,Wm2
67,110_2,3,VI003252BG,10/6/2022,12/21/2022,76,20,2.82,300,180,13.2,4.62,14,14,14,14,12,12,13,13,14,12,MMC169,Wm2
68,110_3,3,VI003057BG,10/6/2022,12/21/2022,76,20,4.1,298,174,12.2,7.4,14,13,12,15,11,12,10,11,12,12,MMC150,Wm2
69,110_4,3,VI001126BG,10/6/2022,12/26/2022,81,20,4.31,238,148,14.2,9.35,14,14,14,14,15,14,14,15,14,14,MMC50,Wm2
70,110_5,3,VI004184AG,10/6/2022,12/14/2022,69,20,3.67,82,58,10.6,5.04,11,10,10,10,11,13,10,11,10,10,MMC247,Wm2
71,111_1,3,VI003407AG,10/6/2022,12/26/2022,81,20,3.63,428,224,11.6,5.35,11,11,13,12,11,12,11,12,11,12,MMC178,Wm2
72,111_2,3,VI002802A-BR,10/6/2022,12/26/2022,81,20,4.84,240,120,12.7,8.23,14,12,11,13,14,13,13,11,13,13,MMC135,Wm2
73,111_3,3,VI004048A-GM,10/6/2022,12/19/2022,74,16,3.38,190,120,13.5,6.44,14,13,13,13,16,13,13,14,15,11,MMC240,Wm2
74,111_4,3,VI002469AG,10/6/2022,12/19/2022,74,20,5.29,298,188,11.7,9.46,10,12,12,11,13,11,14,13,11,10,MMC123,Wm2
75,111_5,3,VI004010AG,10/6/2022,12/26/2022,81,20,4.82,264,160,12.7,8.57,13,13,13,12,14,12,14,11,13,12,MMC236,Wm2
76,113_1,1,VI003070AG,10/6/2022,12/26/2022,81,20,3.58,168,108,12.2,5.12,12,13,13,9,13,13,12,11,14,12,MMC153,Em1
77,113_2,1,VI001728AG,10/6/2022,12/26/2022,81,20,3.16,228,142,13.4,6.46,14,12,12,14,14,13,14,14,13,14,MMC94,Em1
78,113_3,1,3890,10/6/2022,12/12/2022,67,20,5.59,276,186,12.7,9.39,13,13,12,11,12,13,13,14,12,14,MBCt,Em1
79,113_4,1,VI004743AG,10/6/2022,12/26/2022,81,20,3.45,60,30,12.4,6.27,14,14,12,12,12,12,12,12,13,11,MMC265,Em1
80,113_5,1,VI003548AG,10/6/2022,12/26/2022,81,20,3.61,244,154,12.8,5.34,14,13,13,13,12,13,12,12,12,14,MMC192,Em1
81,114_1,1,VI000253AG,10/6/2022,12/26/2022,81,20,3.83,54,28,10.9,5.78,11,10,13,10,10,13,13,7,10,12,MMC12,Em1
82,114_2,1,VI001678BG,10/6/2022,12/19/2022,74,20,4.48,274,154,12.4,8.03,12,12,11,12,14,13,13,13,12,12,MMC91,Em1
83,114_3,1,VI003733BG,10/6/2022,12/26/2022,81,20,3.67,166,96,12.9,5.57,13,12,13,12,12,14,14,12,14,13,MMC207,Em1
84,114_4,1,VI003958B-BLM,10/6/2022,12/23/2022,78,20,3.95,152,86,13.8,7.23,15,13,14,13,14,14,12,14,15,14,MMC233,Em1
85,114_5,1,VI001284AG,10/6/2022,12/26/2022,81,20,4.21,198,108,11.6,6.29,12,11,12,10,13,12,12,11,13,10,MMC58,Em1
86,115_1,1,VI003755BG,10/6/2022,12/26/2022,81,20,4.16,200,132,12.9,6.02,12,12,12,13,13,14,13,13,13,14,MMC211,Em1
87,115_2,1,VI003907AG,10/6/2022,12/16/2022,71,20,3.55,206,136,12.7,7.31,13,12,14,11,13,14,12,14,12,12,MMC221,Em1
88,115_3,1,VI001548AG,10/6/2022,12/29/2022,84,20,3.43,76,36,11.3,5.66,11,11,10,10,11,12,11,13,13,11,MMC79,Em1
89,115_4,1,VI000532BG,10/6/2022,12/26/2022,81,20,3.38,110,64,13.6,6.56,14,15,14,13,13,13,13,15,11,15,MMC19,Em1
90,115_5,1,VI002739AG,10/6/2022,12/21/2022,76,20,6.35,200,108,12.4,11.28,15,11,12,13,12,12,15,12,13,9,MMC134,Em1
91,116_1,1,VI004931AG,10/6/2022,12/26/2022,81,11,3.93,132,82,13.1,6.97,14,13,12,13,15,11,13,13,12,15,MMC276,Em1
92,116_2,1,VI003114AG,10/6/2022,12/19/2022,74,20,3.61,144,78,12.6,5.96,14,13,12,12,13,12,12,12,13,13,MMC155,Em1
93,116_3,1,VI002569BG,10/6/2022,12/26/2022,81,20,5.75,132,76,13.1,8.53,13,13,14,13,14,14,13,13,13,11,MMC128,Em1
94,116_4,1,VI001576BG,10/6/2022,12/26/2022,81,12,3.31,76,40,12.2,6.5,13,12,12,13,11,12,11,13,13,12,MMC83,Em1
95,116_5,1,VI002926AG,10/6/2022,12/23/2022,78,20,3.85,92,42,12.1,6.14,12,13,11,10,12,13,12,13,12,13,MMC141,Em1
96,117_1,1,VI001859BG,10/6/2022,12/19/2022,74,20,5.78,290,172,11.4,9.34,10,9,10,11,11,13,15,11,13,11,MMC102,Em2
97,117_2,1,VI003255AG,10/6/2022,12/26/2022,81,20,3.58,120,74,12.6,8.09,13,12,14,12,12,12,12,12,13,14,MMC170,Em2
98,117_3,1,VI003760BG,10/6/2022,12/26/2022,81,20,3.87,78,44,12.2,6.46,12,11,11,11,12,10,13,14,13,15,MMC212,Em2
